epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,1648.78,1.38868,1.34701,1.39132,0.78745,0.61332,0.68152,0.26583,1.69522,1.4622,1.75183,0.00267337,0.000891125,0.00267337,0.000891125,0.00267337,0.000891125,0.00267337,0.000891125
31,1703.23,1.39865,1.33737,1.39613,0.78147,0.64507,0.70061,0.2777,1.67902,1.40758,1.74804,0.00263625,0.00087875,0.00263625,0.00087875,0.00263625,0.00087875,0.00263625,0.00087875
32,1757.97,1.38132,1.31357,1.38344,0.75753,0.64828,0.70339,0.28181,1.66445,1.38562,1.7312,0.00259912,0.000866375,0.00259912,0.000866375,0.00259912,0.000866375,0.00259912,0.000866375
33,1812.57,1.3914,1.32335,1.39839,0.76222,0.64504,0.69393,0.27297,1.69031,1.3905,1.758,0.002562,0.000854,0.002562,0.000854,0.002562,0.000854,0.002562,0.000854
34,1867.62,1.35182,1.27614,1.36753,0.78082,0.63668,0.69957,0.2844,1.67484,1.38899,1.71944,0.00252487,0.000841625,0.00252487,0.000841625,0.00252487,0.000841625,0.00252487,0.000841625
35,1922.12,1.3388,1.26488,1.35481,0.82007,0.65022,0.71058,0.28205,1.67059,1.37363,1.73332,0.00248775,0.00082925,0.00248775,0.00082925,0.00248775,0.00082925,0.00248775,0.00082925
36,1976.65,1.33116,1.2693,1.35088,0.7616,0.64431,0.70279,0.28189,1.67988,1.37813,1.74383,0.00245062,0.000816875,0.00245062,0.000816875,0.00245062,0.000816875,0.00245062,0.000816875
37,2031.2,1.32244,1.24116,1.34398,0.74424,0.65681,0.70471,0.27687,1.68845,1.37618,1.76075,0.0024135,0.0008045,0.0024135,0.0008045,0.0024135,0.0008045,0.0024135,0.0008045
38,2085.93,1.31158,1.23841,1.34604,0.77931,0.64518,0.71031,0.28486,1.6916,1.36614,1.74878,0.00237638,0.000792125,0.00237638,0.000792125,0.00237638,0.000792125,0.00237638,0.000792125
39,2140.49,1.31904,1.23851,1.33669,0.77033,0.66213,0.72077,0.28663,1.64869,1.33994,1.74245,0.00233925,0.00077975,0.00233925,0.00077975,0.00233925,0.00077975,0.00233925,0.00077975
