epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,134.336,1.03564,1.54838,1.1964,0.80448,0.68452,0.76276,0.58351,0.75069,0.7593,0.97995,0.00995122,0.00331707,0.00995122,0.00331707,0.00995122,0.00331707,0.00995122,0.00331707
2,269.978,0.86009,0.85939,1.07037,0.78765,0.72448,0.77003,0.6028,0.74144,0.72431,0.9576,0.0197537,0.00658457,0.0197537,0.00658457,0.0197537,0.00658457,0.0197537,0.00658457
3,399.557,0.90596,0.87039,1.08701,0.66856,0.58187,0.65632,0.45339,0.99966,1.08525,1.1025,0.0293582,0.00978606,0.0293582,0.00978606,0.0293582,0.00978606,0.0293582,0.00978606
4,527.468,1.00544,0.96348,1.14288,0.66754,0.65161,0.69627,0.48621,0.98135,0.93991,1.10624,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,654.989,0.96493,0.8951,1.13169,0.78368,0.64122,0.73079,0.53319,0.8695,0.81802,1.03338,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,782.898,0.92171,0.81916,1.10607,0.77382,0.69678,0.76586,0.55703,0.87671,0.75679,1.02466,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,910.545,0.8796,0.77595,1.08302,0.76699,0.672,0.72907,0.54394,0.86458,0.80385,1.04308,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1038.19,0.86141,0.73493,1.07382,0.9047,0.78721,0.86601,0.68396,0.74302,0.61053,0.97019,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1166.09,0.82795,0.70324,1.05715,0.8879,0.80601,0.87408,0.6854,0.73459,0.59987,0.96218,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1293.89,0.80348,0.68044,1.04159,0.83389,0.82212,0.85985,0.677,0.73859,0.60535,0.97944,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1421.12,0.78203,0.64729,1.03559,0.89559,0.85937,0.89657,0.72381,0.67002,0.53308,0.92365,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1549.67,0.77245,0.63137,1.02972,0.9069,0.83455,0.91598,0.7386,0.66151,0.54259,0.92723,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1677.39,0.75883,0.61905,1.01728,0.90624,0.86589,0.90987,0.74232,0.65371,0.54305,0.92075,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1805.48,0.73649,0.59809,1.00992,0.93998,0.82723,0.90725,0.76287,0.61504,0.48792,0.89475,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1933.08,0.71827,0.58657,1.0028,0.88945,0.86538,0.91512,0.73341,0.62291,0.4934,0.90202,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,2060.3,0.70876,0.56853,0.99923,0.90224,0.88401,0.93398,0.76437,0.60139,0.45601,0.88789,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,2188.27,0.69639,0.55537,0.9925,0.91981,0.86943,0.92906,0.77787,0.5963,0.45285,0.88146,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,2316.15,0.68604,0.54322,0.98847,0.92234,0.83807,0.92273,0.77801,0.60284,0.46266,0.89215,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,2443.76,0.68317,0.5385,0.98733,0.93997,0.90502,0.95074,0.79704,0.56857,0.44036,0.87948,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,2571.28,0.66906,0.52939,0.97965,0.92919,0.91102,0.9477,0.79548,0.55979,0.4361,0.87425,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
