epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,28741.3,0.59953,0.39702,0.00382,0.82318,0.76341,0.83579,0.66318,0.71795,0.63714,0.00825,0.0006387,0.0002129,0.0006387,0.0002129,0.0006387,0.0002129,0.0006387,0.0002129
31,29683.1,0.59963,0.39693,0.00382,0.82515,0.76651,0.83737,0.66516,0.7179,0.63684,0.00825,0.000609,0.000203,0.000609,0.000203,0.000609,0.000203,0.000609,0.000203
32,30624.6,0.59577,0.3959,0.00385,0.83636,0.7639,0.83734,0.66567,0.71784,0.63649,0.00825,0.0005793,0.0001931,0.0005793,0.0001931,0.0005793,0.0001931,0.0005793,0.0001931
33,31568.7,0.59336,0.39283,0.0038,0.8324,0.76717,0.83874,0.66661,0.71735,0.63732,0.00824,0.0005496,0.0001832,0.0005496,0.0001832,0.0005496,0.0001832,0.0005496,0.0001832
34,32510.1,0.59596,0.39619,0.00382,0.83836,0.76919,0.83917,0.66666,0.71752,0.63712,0.00824,0.0005199,0.0001733,0.0005199,0.0001733,0.0005199,0.0001733,0.0005199,0.0001733
35,33452.4,0.59511,0.39259,0.0038,0.84313,0.76543,0.83904,0.66581,0.7176,0.63711,0.00825,0.0004902,0.0001634,0.0004902,0.0001634,0.0004902,0.0001634,0.0004902,0.0001634
36,34392.9,0.59312,0.3886,0.00381,0.84021,0.76734,0.83906,0.66562,0.71782,0.63679,0.00825,0.0004605,0.0001535,0.0004605,0.0001535,0.0004605,0.0001535,0.0004605,0.0001535
37,35333.9,0.59421,0.38981,0.00379,0.84312,0.76645,0.84047,0.66651,0.7179,0.63625,0.00826,0.0004308,0.0001436,0.0004308,0.0001436,0.0004308,0.0001436,0.0004308,0.0001436
38,36274.8,0.58851,0.38719,0.00377,0.84467,0.76322,0.84046,0.66657,0.71785,0.63701,0.00826,0.0004011,0.0001337,0.0004011,0.0001337,0.0004011,0.0001337,0.0004011,0.0001337
39,37216.2,0.59099,0.38908,0.00379,0.84384,0.76233,0.84027,0.66689,0.71812,0.63702,0.00826,0.0003714,0.0001238,0.0003714,0.0001238,0.0003714,0.0001238,0.0003714,0.0001238
40,38156.6,0.59115,0.38594,0.00377,0.84674,0.76317,0.84044,0.66696,0.71792,0.63755,0.00826,0.0003417,0.0001139,0.0003417,0.0001139,0.0003417,0.0001139,0.0003417,0.0001139
41,39152.2,0.55467,0.30348,0.0041,0.84723,0.76357,0.84014,0.66644,0.7188,0.63666,0.00828,0.000312,0.000104,0.000312,0.000104,0.000312,0.000104,0.000312,0.000104
42,40094.8,0.54455,0.28908,0.00399,0.83032,0.76753,0.83999,0.66613,0.7184,0.63863,0.00827,0.0002823,9.41e-05,0.0002823,9.41e-05,0.0002823,9.41e-05,0.0002823,9.41e-05
43,41034.5,0.5388,0.28468,0.00393,0.83722,0.76582,0.84042,0.66634,0.71881,0.63732,0.00827,0.0002526,8.42e-05,0.0002526,8.42e-05,0.0002526,8.42e-05,0.0002526,8.42e-05
44,41974.9,0.53557,0.28254,0.00392,0.8369,0.76488,0.84047,0.66671,0.7188,0.63775,0.00827,0.0002229,7.43e-05,0.0002229,7.43e-05,0.0002229,7.43e-05,0.0002229,7.43e-05
45,42911.6,0.53371,0.2814,0.00392,0.83068,0.76235,0.8388,0.66498,0.71867,0.6389,0.00827,0.0001932,6.44e-05,0.0001932,6.44e-05,0.0001932,6.44e-05,0.0001932,6.44e-05
46,43850.5,0.53262,0.28132,0.00389,0.82797,0.76651,0.83926,0.66502,0.71942,0.63895,0.00828,0.0001635,5.45e-05,0.0001635,5.45e-05,0.0001635,5.45e-05,0.0001635,5.45e-05
47,44791.8,0.5316,0.28067,0.00388,0.84111,0.7558,0.83948,0.66492,0.71976,0.63912,0.00828,0.0001338,4.46e-05,0.0001338,4.46e-05,0.0001338,4.46e-05,0.0001338,4.46e-05
48,45731.1,0.53045,0.27756,0.00388,0.8439,0.75832,0.83935,0.66452,0.72008,0.6396,0.00829,0.0001041,3.47e-05,0.0001041,3.47e-05,0.0001041,3.47e-05,0.0001041,3.47e-05
49,46670.9,0.52954,0.27822,0.00384,0.84335,0.75898,0.84024,0.66456,0.71978,0.64158,0.00829,7.44e-05,2.48e-05,7.44e-05,2.48e-05,7.44e-05,2.48e-05,7.44e-05,2.48e-05
50,47610,0.52863,0.2792,0.00386,0.84228,0.75842,0.83954,0.66474,0.72013,0.6418,0.00829,4.47e-05,1.49e-05,4.47e-05,1.49e-05,4.47e-05,1.49e-05,4.47e-05,1.49e-05
