epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,140.305,1.27074,6.54422,1.25813,0.83716,0.64016,0.71251,0.5537,0.77838,3.22523,0.98094,0.0099537,0.0033179,0.0099537,0.0033179,0.0099537,0.0033179,0.0099537,0.0033179
2,281.876,1.09965,4.25174,1.14209,0.73877,0.73184,0.77318,0.57957,0.8148,2.94446,0.98922,0.0197562,0.00658539,0.0197562,0.00658539,0.0197562,0.00658539,0.0197562,0.00658539
3,419.319,1.14638,4.30719,1.15838,0.58816,0.55806,0.58072,0.37966,1.10917,5.64215,1.18654,0.0293606,0.00978687,0.0293606,0.00978687,0.0293606,0.00978687,0.0293606,0.00978687
4,554.094,1.25161,4.67006,1.21791,0.69668,0.63897,0.67241,0.44646,1.04233,4.06103,1.14279,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,687.703,1.23991,4.49996,1.21525,0.78066,0.68421,0.7554,0.52898,0.98228,3.35589,1.10587,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,820.943,1.20457,4.21678,1.19939,0.75884,0.67766,0.74146,0.51874,0.94966,3.13891,1.08083,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,954.633,1.16201,4.03078,1.17978,0.85571,0.69906,0.77585,0.55276,0.91622,3.2712,1.05761,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1088.44,1.13789,3.82538,1.16362,0.84179,0.75195,0.81525,0.58074,0.87084,3.08041,1.03706,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1222.65,1.11397,3.69688,1.15009,0.82994,0.70479,0.7886,0.59491,0.87048,2.68119,1.04208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1356.57,1.0979,3.59916,1.14258,0.84057,0.77709,0.83986,0.62311,0.82513,2.64561,0.99765,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1490.75,1.07168,3.44971,1.12539,0.83598,0.74345,0.81844,0.62536,0.80247,2.55792,0.98592,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1624.38,1.0531,3.37445,1.11732,0.87644,0.82828,0.86866,0.67549,0.78146,2.40707,0.97773,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1757.88,1.03615,3.29677,1.10617,0.88687,0.7704,0.85704,0.66813,0.76173,2.30209,0.97193,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1890.73,1.03434,3.26571,1.10839,0.85573,0.83675,0.87497,0.6755,0.76734,2.28726,0.97969,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,2024.16,1.01469,3.18182,1.09373,0.87993,0.81085,0.8815,0.69665,0.73485,2.22501,0.95581,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,2158.02,1.00279,3.10371,1.08663,0.86908,0.85381,0.89259,0.69084,0.74413,2.15333,0.96098,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,2291.02,0.98783,3.03169,1.0824,0.93193,0.79561,0.89292,0.69534,0.73033,2.21009,0.94912,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,2423.97,0.97871,3.00437,1.076,0.89416,0.84329,0.90455,0.7232,0.70543,2.09368,0.93558,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,2557.63,0.97146,2.96726,1.07098,0.88327,0.83697,0.8886,0.71284,0.70637,2.07604,0.94622,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
