epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,20194.6,0.92967,0.854,0.00693,0.81483,0.69577,0.79765,0.61351,0.77571,0.7323,0.00905,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,20820.6,0.92555,0.84476,0.00688,0.7941,0.71038,0.79849,0.61727,0.77242,0.72805,0.009,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,21447.1,0.91946,0.83795,0.00684,0.78894,0.72537,0.80285,0.61989,0.77019,0.7208,0.00896,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,22073.1,0.91443,0.83136,0.00679,0.79302,0.72741,0.80391,0.62189,0.7657,0.71792,0.00891,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,22697.9,0.9054,0.82401,0.0067,0.79563,0.7218,0.80499,0.62399,0.7627,0.71705,0.00886,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,23320.6,0.90535,0.81987,0.00672,0.79685,0.73023,0.80609,0.62604,0.76076,0.71299,0.00882,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,23935.6,0.89795,0.80904,0.00663,0.79269,0.73522,0.80756,0.63099,0.75798,0.70896,0.00877,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,24552.1,0.89645,0.80104,0.0066,0.80129,0.7339,0.81022,0.631,0.75689,0.70512,0.00875,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,25169.5,0.88999,0.79169,0.00658,0.8344,0.71255,0.81002,0.63213,0.75539,0.70143,0.00875,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,25785.7,0.88901,0.78466,0.00658,0.8197,0.71636,0.81319,0.63625,0.75474,0.69676,0.00874,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,26400.5,0.88388,0.7764,0.00647,0.80321,0.72814,0.81428,0.63531,0.75232,0.69574,0.00871,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,27015.1,0.87913,0.76687,0.00645,0.82323,0.71662,0.81583,0.63698,0.75052,0.69253,0.00869,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,27631.7,0.88229,0.76646,0.00645,0.81213,0.72897,0.81626,0.63752,0.74869,0.68941,0.00866,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,28247,0.87036,0.75775,0.0064,0.82727,0.72236,0.81785,0.63856,0.74722,0.68565,0.00863,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,28863.9,0.87226,0.75486,0.00635,0.81706,0.73796,0.82,0.64044,0.74584,0.68311,0.00862,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,29479.3,0.86711,0.74501,0.00631,0.82362,0.73462,0.821,0.64103,0.74428,0.68035,0.0086,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,30100,0.8572,0.73707,0.00626,0.81086,0.75186,0.82132,0.64262,0.74295,0.67905,0.00859,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,30726.8,0.85424,0.73039,0.00621,0.82082,0.74218,0.8223,0.64399,0.74151,0.67804,0.00856,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,31353.9,0.85496,0.73008,0.00621,0.81754,0.75106,0.82331,0.64502,0.7406,0.6765,0.00855,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,31979.6,0.84929,0.72276,0.00617,0.82135,0.75467,0.82369,0.64408,0.73953,0.67634,0.00854,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,32603,0.84603,0.7155,0.00616,0.82116,0.75576,0.82517,0.64499,0.73831,0.67514,0.00853,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,33229.3,0.84113,0.70743,0.0061,0.81788,0.76067,0.82565,0.6466,0.73756,0.67321,0.00852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,33854,0.83982,0.70517,0.00607,0.82221,0.74905,0.82536,0.6471,0.73659,0.67158,0.00851,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,34480.4,0.8336,0.693,0.00603,0.81836,0.74755,0.8263,0.64779,0.73571,0.67003,0.0085,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,35105.2,0.83365,0.68729,0.00601,0.82458,0.74606,0.82763,0.64941,0.7346,0.66858,0.00848,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,35731.2,0.82658,0.68114,0.00595,0.82713,0.74254,0.82737,0.64974,0.73368,0.66671,0.00847,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
